,train_loss,val_loss,test_loss,train_accuracy,val_accuracy,test_accuracy,AUC,Precision,Recall,F1
HOG + SVM,,,,,,0.8720969945355191,0.9897177165705301,0.8909515770877324,0.8720969945355191,0.8574890511148101
GCN,"[0.6189466740271842, 0.5907295591147371, 0.5900097429290299, 0.5895071782807048, 0.5846848074317903, 0.5842795778614606, 0.5838816692662794, 0.582980253206667, 0.5821220505145169, 0.58160613072935, 0.5806656930335733, 0.5820880218069683, 0.5802879511385926, 0.5766774175703063, 0.5794795883256335, 0.5754320473633996, 0.5746562961460084, 0.5719223951184472, 0.5697222211102183, 0.5672702579073203]","[0.6009439112884658, 0.598660617002419, 0.598514087498188, 0.5981071250779288, 0.5984331859009606, 0.5978065665279116, 0.5964501361761775, 0.5966850987502507, 0.5965871523533549, 0.5945284898791995, 0.5934396141341755, 0.594006421310561, 0.5946830276932035, 0.5910130387970379, 0.5960781872272491, 0.5921554160969598, 0.5918753700596946, 0.5896167904138565, 0.5860706631626401, 0.5899423712066242]",0.5394081835235868,,"[71.86788154897495, 71.86788154897495, 71.86788154897495, 71.86788154897495, 71.86788154897495, 71.86788154897495, 71.86788154897495, 71.86788154897495, 71.86788154897495, 71.86788154897495, 71.86788154897495, 71.86788154897495, 71.86788154897495, 71.86788154897495, 71.86788154897495, 71.86788154897495, 71.86788154897495, 71.86788154897495, 71.86788154897495, 71.86788154897495]",75.88168373151308,,0.5758029925929377,0.7588168373151308,0.654761747075281
CNN,"[0.48824570136643497, 0.36163466387107723, 0.3305392538914915, 0.32185534571037916, 0.30734447573052076, 0.2936382238330737, 0.28148445967442354, 0.28481949275471474, 0.2765323643475934, 0.2648591009564087, 0.26653548407424343, 0.2529856505208328, 0.23548715121921945, 0.23590958175437698, 0.23289312133209303, 0.2333126136514007, 0.22407464931408563, 0.22118084529628518, 0.2200973688986132, 0.20834670203631042]","[0.34465099924377035, 0.28336407084550175, 0.2578925248235464, 0.2500678322144917, 0.23878504069788115, 0.22879878112248012, 0.22596511244773865, 0.22598070145717689, 0.21046383120119572, 0.21669128058212145, 0.2095340886818511, 0.19751352896647795, 0.18960463229034627, 0.21210060561341898, 0.21165430120059422, 0.20653323350208147, 0.17567786587668316, 0.1729680382247482, 0.17045025021902152, 0.16704193476055348]",0.16368762550077268,"[77.2370218579235, 84.0334699453552, 86.09972677595628, 86.59494535519126, 86.79986338797814, 87.68784153005464, 88.3879781420765, 88.43920765027322, 88.47336065573771, 89.53210382513662, 89.61748633879782, 89.97609289617486, 90.64207650273224, 90.7103825136612, 90.94945355191257, 90.89822404371584, 90.86407103825137, 91.54713114754098, 91.3422131147541, 91.95696721311475]","[87.58542141230069, 90.8883826879271, 91.45785876993166, 91.34396355353076, 91.91343963553531, 92.14123006833712, 92.25512528473804, 92.59681093394077, 93.62186788154898, 93.16628701594533, 92.59681093394077, 93.28018223234623, 93.84965831435079, 93.39407744874715, 93.50797266514806, 93.39407744874715, 94.30523917995444, 94.41913439635535, 94.41913439635535, 94.30523917995444]",93.51535836177474,,0.9360155626110089,0.9351535836177475,0.9355091443906556
Transfer Learning,"[0.17047043503514786, 0.10453722636800172, 0.10782039153223583, 0.09565138150468584, 0.06882287245406228, 0.04642905418710538, 0.021369458260574167, 0.012446013636175948, 0.023905406991207554, 0.01258169526465295, 0.021164017072932924, 0.014121488267790468, 0.008803285140694884, 0.00506424412906058, 0.0051239507829873325, 0.004804107552085635, 0.0034612915905051713, 0.0025847981368167174, 0.0022699791426380534, 0.003390580542011515]","[0.08815725493643965, 0.16250307019799948, 0.27270678523927927, 0.176607907782974, 0.12131400499492884, 0.07177635900942343, 0.06521810762517687, 0.06064427349649902, 0.06219577407630693, 0.05587682839749115, 0.05617585373277377, 0.06580395723826118, 0.06161787536361122, 0.06607885194534902, 0.0763402348696088, 0.06397571953545723, 0.06332051701610908, 0.07101751594953905, 0.060553781842047884, 0.0629928631533403]",0.09493543756274546,"[94.26689436447914, 95.92583556965113, 96.26738228836301, 96.34057087094413, 97.77994632837277, 98.38985118321541, 99.36569895096365, 99.70724566967553, 99.82922664064407, 99.63405708709442, 99.75603805806294, 99.68284947548183, 99.75603805806294, 99.87801902903148, 99.87801902903148, 99.90241522322518, 99.95120761161259, 100.0, 100.0, 99.92681141741889]","[96.81093394077449, 93.16628701594533, 89.749430523918, 93.28018223234623, 95.67198177676538, 97.03872437357631, 97.49430523917995, 97.72209567198178, 97.72209567198178, 97.83599088838268, 98.29157175398633, 97.03872437357631, 97.60820045558087, 97.49430523917995, 97.38041002277905, 97.49430523917995, 97.49430523917995, 97.60820045558087, 97.72209567198178, 97.60820045558087]",97.26962457337883,,0.9725724116425173,0.9726962457337884,0.9726070406429762
